material_code,location,snapshot_date,qty,value
CP-2004,WH-NORTH,2026-02-01,117.0,140.4
CP-2004,WH-SOUTH,2026-02-01,78.0,93.6
CP-2004,WH-NORTH,2026-03-01,135.3,162.36
CP-2004,WH-SOUTH,2026-03-01,90.2,108.24
CP-2004,WH-NORTH,2026-04-01,143.9,172.68
CP-2004,WH-SOUTH,2026-04-01,96.0,115.2
CP-2004,WH-NORTH,2026-05-01,142.2,170.64
CP-2004,WH-SOUTH,2026-05-01,94.8,113.76
CP-2004,WH-NORTH,2026-06-01,138.8,166.56
CP-2004,WH-SOUTH,2026-06-01,92.5,111.0
CP-2004,WH-NORTH,2026-07-01,144.0,172.8
CP-2004,WH-SOUTH,2026-07-01,96.0,115.2
CP-2004,WH-NORTH,2026-08-01,160.3,192.36
CP-2004,WH-SOUTH,2026-08-01,106.9,128.28
CP-2004,WH-NORTH,2026-09-01,179.8,215.76
CP-2004,WH-SOUTH,2026-09-01,119.9,143.88
SA-3001,WH-NORTH,2026-02-01,3.6,151.2
SA-3001,WH-SOUTH,2026-02-01,2.4,100.8
SA-3001,WH-NORTH,2026-03-01,4.2,176.4
SA-3001,WH-SOUTH,2026-03-01,2.8,117.6
SA-3001,WH-NORTH,2026-04-01,4.4,184.8
SA-3001,WH-SOUTH,2026-04-01,3.0,126.0
SA-3001,WH-NORTH,2026-05-01,4.4,184.8
SA-3001,WH-SOUTH,2026-05-01,2.9,121.8
SA-3001,WH-NORTH,2026-06-01,4.3,180.6
SA-3001,WH-SOUTH,2026-06-01,2.8,117.6
SA-3001,WH-NORTH,2026-07-01,4.4,184.8
SA-3001,WH-SOUTH,2026-07-01,3.0,126.0
SA-3001,WH-NORTH,2026-08-01,4.9,205.8
SA-3001,WH-SOUTH,2026-08-01,3.3,138.6
SA-3001,WH-NORTH,2026-09-01,5.5,231.0
SA-3001,WH-SOUTH,2026-09-01,3.7,155.4
FG-5001,WH-NORTH,2026-02-01,6.3,0.0
FG-5001,WH-SOUTH,2026-02-01,4.2,0.0
FG-5001,WH-NORTH,2026-03-01,7.3,0.0
FG-5001,WH-SOUTH,2026-03-01,4.9,0.0
FG-5001,WH-NORTH,2026-04-01,7.8,0.0
FG-5001,WH-SOUTH,2026-04-01,5.2,0.0
FG-5001,WH-NORTH,2026-05-01,7.7,0.0
FG-5001,WH-SOUTH,2026-05-01,5.1,0.0
FG-5001,WH-NORTH,2026-06-01,7.5,0.0
FG-5001,WH-SOUTH,2026-06-01,5.0,0.0
FG-5001,WH-NORTH,2026-07-01,7.8,0.0
FG-5001,WH-SOUTH,2026-07-01,5.2,0.0
FG-5001,WH-NORTH,2026-08-01,8.6,0.0
FG-5001,WH-SOUTH,2026-08-01,5.8,0.0
FG-5001,WH-NORTH,2026-09-01,9.7,0.0
FG-5001,WH-SOUTH,2026-09-01,6.5,0.0
FG-5002,WH-NORTH,2026-02-01,2.7,0.0
FG-5002,WH-SOUTH,2026-02-01,1.8,0.0
FG-5002,WH-NORTH,2026-03-01,3.1,0.0
FG-5002,WH-SOUTH,2026-03-01,2.1,0.0
FG-5002,WH-NORTH,2026-04-01,3.3,0.0
FG-5002,WH-SOUTH,2026-04-01,2.2,0.0
FG-5002,WH-NORTH,2026-05-01,3.3,0.0
FG-5002,WH-SOUTH,2026-05-01,2.2,0.0
FG-5002,WH-NORTH,2026-06-01,3.2,0.0
FG-5002,WH-SOUTH,2026-06-01,2.1,0.0
FG-5002,WH-NORTH,2026-07-01,3.3,0.0
FG-5002,WH-SOUTH,2026-07-01,2.2,0.0
FG-5002,WH-NORTH,2026-08-01,3.7,0.0
FG-5002,WH-SOUTH,2026-08-01,2.5,0.0
FG-5002,WH-NORTH,2026-09-01,4.1,0.0
FG-5002,WH-SOUTH,2026-09-01,2.8,0.0
PK-4001,WH-NORTH,2026-02-01,1890.0,567.0
PK-4001,WH-SOUTH,2026-02-01,1260.0,378.0
PK-4001,WH-NORTH,2026-03-01,2185.6,655.68
PK-4001,WH-SOUTH,2026-03-01,1457.1,437.13
PK-4001,WH-NORTH,2026-04-01,2325.3,697.59
PK-4001,WH-SOUTH,2026-04-01,1550.2,465.06
PK-4001,WH-NORTH,2026-05-01,2296.4,688.92
PK-4001,WH-SOUTH,2026-05-01,1531.0,459.3
PK-4001,WH-NORTH,2026-06-01,2241.4,672.42
PK-4001,WH-SOUTH,2026-06-01,1494.3,448.29
PK-4001,WH-NORTH,2026-07-01,2326.7,698.01
PK-4001,WH-SOUTH,2026-07-01,1551.1,465.33
PK-4001,WH-NORTH,2026-08-01,2589.7,776.91
PK-4001,WH-SOUTH,2026-08-01,1726.4,517.92
PK-4001,WH-NORTH,2026-09-01,2904.4,871.32
PK-4001,WH-SOUTH,2026-09-01,1936.3,580.89
